permno,date,ret,yyyymm,XFIN,TrendFactor,NetEquityFinance,TotalAccruals,grcapx,RDS,MomOffSeason06YrPlus,roaq,NetDebtFinance,InvGrowth,InvestPPEInv,hire,DelDRC,retConglomerate,CustomerMomentum,MomSeason16YrPlus,IndMom,betaVIX,IntanEP,DelLTI
10001,1999-01-29,0.0,199901,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.027581418,-0.016140433,0.065420896,,-0.0037041456,0.15849057,,-0.0091859830508475,,,0.10247318,4.79032778476e-05,0.099802993,0.001518657
10001,1999-02-26,-9.0909,199902,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.022359364,-0.016140433,0.065420896,,-0.0037041456,0.15849057,,-0.047182779661017,,,0.049211007,0.0001546761141992,0.12494947,0.001518657
10001,1999-03-31,1.3143,199903,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.02045651,0.016069407,0.065420896,,-0.0037041456,0.15849057,,0.0070861186440678,,,-0.06654752,-0.0100970537426095,0.14936556,0.001518657
10001,1999-04-30,1.4286,199904,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.020823255,0.016069407,0.065420896,,-0.0037041456,0.15849057,,0.0429734237288136,,,-0.074677326,-0.0034165384968735,0.10995523,0.001518657
10001,1999-05-28,-2.1127,199905,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.018149981,0.016069407,0.065420896,,-0.0037041456,0.15849057,,0.0485375254237288,,,0.0056864317,-0.0031712441285911,0.10985608,0.001518657
10001,1999-06-30,0.6619,199906,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.022018382,0.026436687,0.065420896,,-0.0037041456,0.15849057,,0.0707696271186441,,,0.032518141,-0.0062018472049008,0.34007132,0.001518657
10001,1999-07-30,2.1739,199907,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.017427746,0.026436687,0.065420896,,-0.0037041456,0.15849057,,0.0225807049180328,,,0.083610624,0.0156702916623419,0.36268082,0.001518657
10001,1999-08-31,-0.7092,199908,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.013961019,0.026436687,0.065420896,,-0.0037041456,0.15849057,,-0.0219133870967742,,,0.09264072,0.0049187316134392,0.1725135,0.001518657
10001,1999-09-30,-7.2,199909,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.0163498,0.005000541,0.065420896,,-0.0037041456,0.15849057,,-0.0222855161290323,,,0.117305,0.0132061870633699,0.2411111,0.001518657
10001,1999-10-29,8.5938,199910,0.081597552,,0.016752684,-0.021627434,0.34349814,,-0.015002691,0.005000541,0.065420896,,-0.0037041456,0.15849057,,0.0077559677419355,,,-0.012220793,0.0002599970421265,0.16802622,0.001518657
